date,ticker,vol10,momentum,market_cap,beta
1/17/2014,GNW,27.002,0.14544084400904295,7952.6362,1.7921
1/17/2014,GOGO,84.98299999999999,1.667477696674777,1966.1961,1.5935
1/17/2014,GPN,25.588,0.37356246903277973,4977.666,0.9715
1/17/2014,GPOR,48.417,0.12483091787439615,4610.3475,1.3537
1/17/2014,GPS,25.496,-0.1279707761847279,16746.7598,1.2052
1/17/2014,GRMN,19.734,0.3397685952496487,9109.0486,1.0125
1/17/2014,GSM,27.08,0.48947146574790157,1394.7601,1.1843
1/17/2014,GT,32.323,0.3477057547216334,6056.3906,1.3264
1/17/2014,GTI,69.358,0.4441591784338896,1604.6977,1.264
1/17/2014,GVA,10.899000000000001,0.03871221924470746,1387.9576,1.4780000000000002
1/17/2014,GWRE,30.314,0.09650349650349652,3393.1413,1.1108
1/17/2014,GXP,16.051,0.02491880015284673,3765.6419,0.8522
1/17/2014,HA,28.769000000000002,0.16886543535620044,567.3519,0.9509
1/17/2014,HAE,17.491,-0.052608408540611946,2181.6957,0.722
1/17/2014,HALO,58.066,0.7214285714285714,1941.9070000000002,1.7409999999999999
1/17/2014,HAS,10.684000000000001,0.11718436850121898,6747.2388,0.8052
1/17/2014,HD,9.531,0.02431963732197222,114066.3911,1.0334
1/17/2014,HDS,33.489000000000004,-0.01542776998597484,4563.831,0.5841
1/17/2014,HE,13.618,-0.010036769233475884,2627.5993,0.777
1/17/2014,HFC,23.74,0.09461507430303415,9553.0583,0.9667
1/17/2014,HHC,15.597999999999999,0.023761467889908287,4870.6606,1.2324
1/17/2014,HIBB,27.333000000000002,0.11886033910155575,1578.8117,1.0698
1/17/2014,HIG,25.759,0.15670849913274146,15764.1544,1.5865
1/17/2014,HLF,63.175,0.2582370308179613,7090.9321,1.5566
1/17/2014,HLS,21.674,0.07947795368310885,2984.855,1.1873
1/17/2014,HLX,26.278000000000002,-0.11181102362204724,2333.9755,1.6865
1/17/2014,HMSY,34.854,-0.13109048723897915,2299.5449,0.84
1/17/2014,HNT,36.53,-0.04186795491143319,2615.0431,1.0036
1/17/2014,HOG,24.829,0.24181228911035435,14942.4705,1.0864
1/17/2014,HOLX,14.35,-0.01632833186231249,6183.7633,1.0576
1/17/2014,HOMB,22.378,0.33730902525418677,2220.5443,1.0746
